VGS_SUPPLY	V(drain)	V(gate)	V(source)	I(VDD_SUPPLY)	I(VGS_SUPPLY)	I(VSB_SUPPLY)	Ib(M_DUT)	Id(M_DUT)	Ig(M_DUT)	Is(M_DUT)
Step Information: Temp=-40  (Step: 1/34)
7.200000000000001e-02	8.000000e-01	7.200000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
7.300000000000000e-02	8.000000e-01	7.300000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
7.400000000000000e-02	8.000000e-01	7.400000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
7.500000000000000e-02	8.000000e-01	7.500000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
7.600000000000000e-02	8.000000e-01	7.600000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
7.700000000000000e-02	8.000000e-01	7.700000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
7.800000000000000e-02	8.000000e-01	7.800000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
7.900000000000000e-02	8.000000e-01	7.900000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
8.000000000000000e-02	8.000000e-01	8.000000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
8.100000000000000e-02	8.000000e-01	8.100000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
8.200000000000000e-02	8.000000e-01	8.200000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
8.300000000000000e-02	8.000000e-01	8.300000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
8.400000000000001e-02	8.000000e-01	8.400000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
8.500000000000001e-02	8.000000e-01	8.500000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
8.600000000000001e-02	8.000000e-01	8.600000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
8.700000000000001e-02	8.000000e-01	8.700000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
8.799999999999999e-02	8.000000e-01	8.800000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
8.900000000000000e-02	8.000000e-01	8.900000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
9.000000000000000e-02	8.000000e-01	9.000000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
9.100000000000000e-02	8.000000e-01	9.100000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
